Field Name,Type,Required,Array,Primary Key,Unique,Default Value,Raw Definition
id,String,Yes,No,Yes,No,uuid(,id String @id @default(uuid())
unified_file_id,String,Yes,No,No,Yes,,unified_file_id String @unique // The base64 encoded unified file ID
file_object,Json,No,No,No,No,,file_object Json? // Stores the OpenAIFileObject
model_mappings,Json,Yes,No,No,No,,model_mappings Json
flat_model_file_ids,String,Yes,Yes,No,No,[],flat_model_file_ids String[]  @default([]) // Flat list of model file id's - for faster querying of model id -> unified file id
created_at,DateTime,Yes,No,No,No,now(,created_at DateTime @default(now())
created_by,String,No,No,No,No,,created_by String?
updated_at,DateTime,Yes,No,No,No,,updated_at DateTime @updatedAt
updated_by,String,No,No,No,No,,updated_by String?
