Field Name,Type,Required,Array,Primary Key,Unique,Default Value,Raw Definition
vector_store_id,String,Yes,No,Yes,No,,vector_store_id String @id
custom_llm_provider,String,Yes,No,No,No,,custom_llm_provider String
vector_store_name,String,No,No,No,No,,vector_store_name String?
vector_store_description,String,No,No,No,No,,vector_store_description String?
vector_store_metadata,Json,No,No,No,No,,vector_store_metadata Json?
created_at,DateTime,Yes,No,No,No,now(,created_at DateTime @default(now())
updated_at,DateTime,Yes,No,No,No,,updated_at DateTime @updatedAt
litellm_credential_name,String,No,No,No,No,,litellm_credential_name String?
litellm_params,Json,No,No,No,No,,litellm_params Json?
