Field Name,Type,Required,Array,Primary Key,Unique,Default Value,Raw Definition
id,String,Yes,No,Yes,No,uuid(,id                 String   @id @default(uuid())
updated_at,DateTime,Yes,No,No,No,now(,updated_at         DateTime @default(now())
changed_by,String,Yes,No,No,No,"""""","changed_by         String   @default("""")   // user or system that performed the action"
changed_by_api_key,String,Yes,No,No,No,"""""","changed_by_api_key String   @default("""")   // api key hash that performed the action"
action,String,Yes,No,No,No,,"action             String      // create, update, delete"
table_name,String,Yes,No,No,No,,"table_name         String      // on of  LitellmTableNames.TEAM_TABLE_NAME, LitellmTableNames.USER_TABLE_NAME, LitellmTableNames.PROXY_MODEL_TABLE_NAME,"
object_id,String,Yes,No,No,No,,"object_id          String      // id of the object being audited. This can be the key id, team id, user id, model id"
before_value,Json,No,No,No,No,,before_value       Json?       // value of the row
updated_values,Json,No,No,No,No,,updated_values     Json?       // value of the row after change
